model	score_type	score_value	proteinA	proteinB	run_id	pose_id	output_path	label
HADDOCK	dockq	0.8743773663803545	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_001	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_001.pdb	
HADDOCK	dockq	0.7668012715007604	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_002	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_002.pdb	
HADDOCK	dockq	0.9100360956645166	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_003	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_003.pdb	
HADDOCK	dockq	0.9252451773112971	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_004	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_004.pdb	
HADDOCK	dockq	0.693917184907693	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_005	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_005.pdb	
HADDOCK	dockq	0.7458256394510145	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_006	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_006.pdb	
HADDOCK	dockq	0.8602272322533828	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_007	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_007.pdb	
HADDOCK	dockq	0.8247005926125134	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_008	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_008.pdb	
HADDOCK	dockq	0.8486559073996569	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_009	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_009.pdb	
HADDOCK	dockq	0.7817564857941136	2UUY_rec	2UUY_lig	haddock_2UUY_rec_2UUY_lig_demo	haddock_2UUY_rec_2UUY_lig_pose_010	/demo/haddock/2UUY_rec_vs_2UUY_lig/haddock_2UUY_rec_2UUY_lig_pose_010.pdb	
