model	score_type	score_value	proteina	proteinb
lightdock	luciferin_score	19.98826	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.54226	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.43661	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.86074	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.58423	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.57117	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.50271	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.24866	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.23528	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.17675	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.98822	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.75508	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.65418	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.79807	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.43943	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.42054	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.33977	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.00751	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.85265	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.80569	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.77528	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.52227	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.19799	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.88801	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.67095	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.62647	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.56513	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.08329	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.87479	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.95412	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.8194	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.56254	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.75114	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.57414	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.63929	2UUY_rec	2UUY_lig
lightdock	luciferin_score	1.76024	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.92829	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.76962	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.33319	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.18861	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.98394	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-3.75139	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-4.29756	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-4.5803	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-7.35249	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-7.83683	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-8.4979	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-8.96204	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-9.9135	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-13.73719	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-14.80364	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-15.25085	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-19.12565	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-31.27892	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-31.61555	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-37.05521	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-42.02268	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-45.58809	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-47.96937	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-50.51865	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-52.67933	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-62.78813	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-67.9376	2UUY_rec	2UUY_lig
lightdock	luciferin_score	16.16376	2UUY_rec	2UUY_lig
lightdock	luciferin_score	16.08151	2UUY_rec	2UUY_lig
lightdock	luciferin_score	16.0444	2UUY_rec	2UUY_lig
lightdock	luciferin_score	15.83962	2UUY_rec	2UUY_lig
lightdock	luciferin_score	15.01838	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.75358	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.63722	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.46803	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.34684	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.12644	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.43761	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.98296	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.44282	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.40808	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.36476	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.25962	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.2401	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.78842	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.67405	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.65265	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.54573	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.54512	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.51968	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.14462	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.5947	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.00319	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.9487	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.61494	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.52849	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.44613	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.55343	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.53149	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.4804	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.70507	2UUY_rec	2UUY_lig
