model	score_type	score_value	proteinA	proteinB	swarm	cluster_id	cluster_pop	source
lightdock	luciferin_score	19.98826	2UUY_rec	2UUY_lig	swarm_0	0.0	2.0	
lightdock	luciferin_score	14.54226	2UUY_rec	2UUY_lig	swarm_0	1.0	6.0	
lightdock	luciferin_score	14.43661	2UUY_rec	2UUY_lig	swarm_0	2.0	1.0	
lightdock	luciferin_score	13.86074	2UUY_rec	2UUY_lig	swarm_0	3.0	5.0	
lightdock	luciferin_score	13.58423	2UUY_rec	2UUY_lig	swarm_0	4.0	7.0	
lightdock	luciferin_score	13.57117	2UUY_rec	2UUY_lig	swarm_0	5.0	6.0	
lightdock	luciferin_score	13.50271	2UUY_rec	2UUY_lig	swarm_0	6.0	4.0	
lightdock	luciferin_score	13.24866	2UUY_rec	2UUY_lig	swarm_0	7.0	5.0	
lightdock	luciferin_score	13.23528	2UUY_rec	2UUY_lig	swarm_0	8.0	2.0	
lightdock	luciferin_score	13.17675	2UUY_rec	2UUY_lig	swarm_0	9.0	5.0	
lightdock	luciferin_score	12.98822	2UUY_rec	2UUY_lig	swarm_0	10.0	1.0	
lightdock	luciferin_score	12.75508	2UUY_rec	2UUY_lig	swarm_0	11.0	6.0	
lightdock	luciferin_score	12.65418	2UUY_rec	2UUY_lig	swarm_0	12.0	30.0	
lightdock	luciferin_score	11.79807	2UUY_rec	2UUY_lig	swarm_0	13.0	1.0	
lightdock	luciferin_score	11.43943	2UUY_rec	2UUY_lig	swarm_0	14.0	2.0	
lightdock	luciferin_score	11.42054	2UUY_rec	2UUY_lig	swarm_0	15.0	8.0	
lightdock	luciferin_score	11.33977	2UUY_rec	2UUY_lig	swarm_0	16.0	4.0	
lightdock	luciferin_score	11.00751	2UUY_rec	2UUY_lig	swarm_0	17.0	2.0	
lightdock	luciferin_score	10.85265	2UUY_rec	2UUY_lig	swarm_0	18.0	1.0	
lightdock	luciferin_score	10.80569	2UUY_rec	2UUY_lig	swarm_0	19.0	5.0	
lightdock	luciferin_score	10.77528	2UUY_rec	2UUY_lig	swarm_0	20.0	3.0	
lightdock	luciferin_score	10.52227	2UUY_rec	2UUY_lig	swarm_0	21.0	4.0	
lightdock	luciferin_score	10.19799	2UUY_rec	2UUY_lig	swarm_0	22.0	6.0	
lightdock	luciferin_score	9.88801	2UUY_rec	2UUY_lig	swarm_0	23.0	2.0	
lightdock	luciferin_score	9.67095	2UUY_rec	2UUY_lig	swarm_0	24.0	3.0	
